SAMPLE_NAME,Collected by,COLLECTION_DATE,DESCRIPTION,BOKULICH.ENVIRONMENTAL_SAMPLE.GEO_LOC_NAME,BOKULICH.ENVIRONMENTAL_SAMPLE.ISOLATION_SOURCE,LOCATION_ID,BOKULICH.ENVIRONMENTAL_SAMPLE.LATITUDE,BOKULICH.ENVIRONMENTAL_SAMPLE.LONGITUDE,parents,,COUNT,68,,not used,numbers,ID on extraction plate
SB_NaCl_sol_berry_wash_1,Lena Flörl,2021-10-13 00:00:00 +0200,NaCl_sol,Grenchen,berry_wash,Grenchen,7.4085074,47.1630425,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.53,53,1053
SB_NaCl_sol_berry_wash_2,Lena Flörl,2021-10-13 00:00:00 +0200,NaCl_sol,Grenchen,berry_wash,Grenchen,7.408851,47.162828,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.54,54,1054
SB_NaCl_sol_berry_wash_3,Lena Flörl,2021-10-13 00:00:00 +0200,NaCl_sol,Grenchen,berry_wash,Grenchen,7.408264,47.163233,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.55,55,1055
SB_water_berry_sonication_1,Lena Flörl,2021-10-13 00:00:00 +0200,water,Grenchen,berry_sonication,Grenchen,7.4085074,47.1630425,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.56,56,1056
SB_water_berry_sonication_2,Lena Flörl,2021-10-13 00:00:00 +0200,water,Grenchen,berry_sonication,Grenchen,7.408851,47.162828,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.57,57,1057
SB_water_berry_sonication_3,Lena Flörl,2021-10-13 00:00:00 +0200,water,Grenchen,berry_sonication,Grenchen,7.408264,47.163233,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.58,58,1058
SB_PBS_berry_sonication_1,Lena Flörl,2021-10-13 00:00:00 +0200,PBS,Grenchen,berry_sonication,Grenchen,7.4085074,47.1630425,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.59,59,1059
SB_PBS_berry_sonication_2,Lena Flörl,2021-10-13 00:00:00 +0200,PBS,Grenchen,berry_sonication,Grenchen,7.408851,47.162828,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.60,60,1060
SB_PBS_berry_sonication_3,Lena Flörl,2021-10-13 00:00:00 +0200,PBS,Grenchen,berry_sonication,Grenchen,7.408264,47.163233,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.61,61,1061
SB_gylcerol_berry_sonication_1,Lena Flörl,2021-10-13 00:00:00 +0200,gylcerol,Grenchen,berry_sonication,Grenchen,7.4085074,47.1630425,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.62,62,1062
SB_gylcerol_berry_sonication_2,Lena Flörl,2021-10-13 00:00:00 +0200,gylcerol,Grenchen,berry_sonication,Grenchen,7.408851,47.162828,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.63,63,1063
SB_gylcerol_berry_sonication_3,Lena Flörl,2021-10-13 00:00:00 +0200,gylcerol,Grenchen,berry_sonication,Grenchen,7.408264,47.163233,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.64,64,1064
SB_NaCl_sol_berry_sonication_1,Lena Flörl,2021-10-13 00:00:00 +0200,NaCl_sol,Grenchen,berry_sonication,Grenchen,7.4085074,47.1630425,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.65,65,1065
SB_NaCl_sol_berry_sonication_2,Lena Flörl,2021-10-13 00:00:00 +0200,NaCl_sol,Grenchen,berry_sonication,Grenchen,7.408851,47.162828,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.66,66,1066
SB_NaCl_sol_berry_sonication_3,Lena Flörl,2021-10-13 00:00:00 +0200,NaCl_sol,Grenchen,berry_sonication,Grenchen,7.408264,47.163233,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.67,67,1067
SB_must_winery_Erlach,Fredi Marolf,,note. The sample has been frozen and then defrosted and stored in the fridge for 3 days,Erlach,must,Grenchen,,,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.68,68,1068
added by SIRA: ,,,,,,,,,,,,,,,,
cotton_tips_1,,2021-10-08 00:00:00 +0200,water,Grenchen,water,Grenchen,,,,,,,,,69,1069
cotton_tips_2,,2021-10-08 00:00:00 +0200,water,Grenchen,water,Grenchen,,,,,,,,,70,1070
cotton_tips_3,,2021-10-08 00:00:00 +0200,water,Grenchen,water,Grenchen,,,,,,,,,71,1071
must_min20_1,,2021-10-13 00:00:00 +0200,must,Grenchen,must,Grenchen,,,,,,,,,72,1072
must_min20_2,,2021-10-13 00:00:00 +0200,must,Grenchen,must,Grenchen,,,,,,,,,73,1073
must_min20_3,,2021-10-13 00:00:00 +0200,must,Grenchen,must,Grenchen,,,,,,,,,74,1074
must_4deg_1,,2021-10-13 00:00:00 +0200,must,Grenchen,must,Grenchen,,,,,,,,,75,1075
must_4deg_2,,2021-10-13 00:00:00 +0200,must,Grenchen,must,Grenchen,,,,,,,,,76,1076
must_4deg_3,,2021-10-13 00:00:00 +0200,water,Grenchen,water,Grenchen,,,,,,,,,77,1077
cotton_blank1,,2021-10-13 00:00:00 +0200,water,Grenchen,water,Grenchen,,,,,,,,,78,1078
cotton_blank2,,2021-10-13 00:00:00 +0200,water,Grenchen,water,Grenchen,,,,,,,,,79,1079
cotton_blank3,,2021-10-13 00:00:00 +0200,,Grenchen,,Grenchen,,,,,,,,,80,1080
visc_4deg_1,,2021-10-13 00:00:00 +0200,,Grenchen,,Grenchen,,,,,,,,,81,1081
visc_4deg_2,,2021-10-13 00:00:00 +0200,,Grenchen,,Grenchen,,,,,,,,,82,1082
visc_4deg_3,,2021-10-13 00:00:00 +0200,,Grenchen,,Grenchen,,,,,,,,,83,1083
visc_min20_1,,2021-10-13 00:00:00 +0200,,Grenchen,,Grenchen,,,,,,,,,84,1084
visc_min20_2,,2021-10-13 00:00:00 +0200,,Grenchen,,Grenchen,,,,,,,,,85,1085
visc_min20_3,,2021-10-13 00:00:00 +0200,,Grenchen,,Grenchen,,,,,,,,,86,1086
visc_blank_1,,2021-10-13 00:00:00 +0200,,Grenchen,,Grenchen,,,,,,,,,87,1087
visc_blank_2,,2021-10-13 00:00:00 +0200,,Grenchen,,Grenchen,,,,,,,,,88,1088
visc_blank_3,,2021-10-13 00:00:00 +0200,,Grenchen,,Grenchen,,,,,,,,,89,1089
