id	SAMPLE_NAME	Plot	Location	Variety	Water_Stress	GEOL	Soil_type	Soil_depth	Precipitation	Latitude	Longitude	Year
364528_231-LP3-16S-0807	Lavaux_2023-09-20_must_Plot14_RepA	14		Chasselas			Calcaire	100-180		46.4974937572741	6.70710403923947	2023
364528_241-LP3-16S-0817	Lavaux_2023-09-20_must_Plot14_RepB	14		Chasselas			Calcaire	100-180		46.4974937572741	6.70710403923947	2023
364528_253-LP3-16S-0829	Lavaux_2023-09-20_must_Plot14_RepC	14		Chasselas			Calcaire	100-180		46.4974937572741	6.70710403923947	2023
364528_251-LP3-16S-0827	Lavaux_2023-09-20_must_Plot14_RepD	14		Chasselas			Calcaire	100-180		46.4974937572741	6.70710403923947	2023
364528_236-LP3-16S-0812	Lavaux_2023-09-20_must_Plot14_RepE	14		Chasselas			Calcaire	100-180		46.4974937572741	6.70710403923947	2023
364528_194-LP3-16S-0770	Lavaux_2023-09-20_must_Plot15_RepA	15		Chasselas			Calcique	100-180		46.5060665399151	6.70239140408832	2023
364528_222-LP3-16S-0798	Lavaux_2023-09-20_must_Plot15_RepB	15		Chasselas			Calcique	100-180		46.5060665399151	6.70239140408832	2023
364528_199-LP3-16S-0775	Lavaux_2023-09-20_must_Plot15_RepC	15		Chasselas			Calcique	100-180		46.5060665399151	6.70239140408832	2023
364528_214-LP3-16S-0790	Lavaux_2023-09-20_must_Plot15_RepD	15		Chasselas			Calcique	100-180		46.5060665399151	6.70239140408832	2023
364528_208-LP3-16S-0784	Lavaux_2023-09-20_must_Plot15_RepE	15		Chasselas			Calcique	100-180		46.5060665399151	6.70239140408832	2023
364528_206-LP3-16S-0782	Lavaux_2023-09-20_must_Plot19_RepA	19		Chasselas			Calcaire	100-180		46.4959274724947	6.7160224459764	2023
364528_198-LP3-16S-0774	Lavaux_2023-09-20_must_Plot19_RepB	19		Chasselas			Calcaire	100-180		46.4959274724947	6.7160224459764	2023
364528_217-LP3-16S-0793	Lavaux_2023-09-20_must_Plot19_RepC	19		Chasselas			Calcaire	100-180		46.4959274724947	6.7160224459764	2023
364528_215-LP3-16S-0791	Lavaux_2023-09-20_must_Plot19_RepD	19		Chasselas			Calcaire	100-180		46.4959274724947	6.7160224459764	2023
364528_201-LP3-16S-0777	Lavaux_2023-09-20_must_Plot19_RepE	19		Chasselas			Calcaire	100-180		46.4959274724947	6.7160224459764	2023
364528_197-LP3-16S-0773	Lavaux_2023-09-20_must_Plot20_RepA	20		Chasselas			Calcaire	100-180		46.4938871757964	6.72055024597156	2023
364528_211-LP3-16S-0787	Lavaux_2023-09-20_must_Plot20_RepB	20		Chasselas			Calcaire	100-180		46.4938871757964	6.72055024597156	2023
364528_219-LP3-16S-0795	Lavaux_2023-09-20_must_Plot20_RepC	20		Chasselas			Calcaire	100-180		46.4938871757964	6.72055024597156	2023
364528_204-LP3-16S-0780	Lavaux_2023-09-20_must_Plot20_RepD	20		Chasselas			Calcaire	100-180		46.4938871757964	6.72055024597156	2023
364528_216-LP3-16S-0792	Lavaux_2023-09-20_must_Plot20_RepE	20		Chasselas			Calcaire	100-180		46.4938871757964	6.72055024597156	2023
364528_249-LP3-16S-0825	Lavaux_2023-09-20_must_Plot17_RepA	17		Chasselas			Calcaire	40-100		46.4882217976717	6.72133060338618	2023
364528_230-LP3-16S-0806	Lavaux_2023-09-20_must_Plot17_RepB	17		Chasselas			Calcaire	40-100		46.4882217976717	6.72133060338618	2023
364528_225-LP3-16S-0801	Lavaux_2023-09-20_must_Plot17_RepC	17		Chasselas			Calcaire	40-100		46.4882217976717	6.72133060338618	2023
364528_227-LP3-16S-0803	Lavaux_2023-09-20_must_Plot17_RepD	17		Chasselas			Calcaire	40-100		46.4882217976717	6.72133060338618	2023
364528_247-LP3-16S-0823	Lavaux_2023-09-20_must_Plot17_RepE	17		Chasselas			Calcaire	40-100		46.4882217976717	6.72133060338618	2023
