SAMPLE_NAME,Frequency
Lavaux_2023-09-20_must_Plot9_RepE,172.0
Lavaux_2021-09-30_must_Plot4_Row16/Vine10_ID16,171.0
Lavaux_2021-08-31_must_Plot17,169.0
Lavaux_2021-09-30_must_Plot19_Row4/Vine11_ID198,169.0
Lavaux_2021-09-30_must_Plot11_Row4/Vine50_ID63,168.0
Lavaux_2022-09-09_must_Plot19_RepD,167.0
DO NOT USE (DUPLICATE),166.0
Lavaux_2021-08-31_soil_Plot20,166.0
DO NOT USE (DUPLICATE),166.0
Lavaux_2021-09-30_must_Plot14_Row10/Vine4_ID111,166.0
Lavaux_2022-09-09_must_Plot5_RepD,165.0
MV_Post-MLF_Plot17_2023-12-11,165.0
Lavaux_2021-09-30_must_Plot17_Row18/Vine20_ID182,165.0
Lavaux_2021-08-31_must_Plot13,164.0
Valais_82,162.0
Valais_55,160.0
Lavaux_2021-09-30_must_Plot15_Row8/Vine10_ID130,160.0
PCR1water_PCR2water-noPNA_1,159.0
22DL01S_4609_lees,158.0
Lavaux_2021-09-30_must_Plot15_Row8/Vine29_ID131c,158.0
Lavaux_2023-08-24_bark_Plot13,158.0
visc_min20_3,157.0
MV_Post-MLF_Plot20_2022-01-24,156.0
SB_must_4deg_24h_2,155.0
22DL03S_8059_wine,155.0
Lavaux_2021-09-30_must_Plot13_Row4/Vine20_ID99,154.0
must_4deg_1,154.0
DO NOT USE (DUPLICATE),153.0
Lavaux_2021-08-31_leaf_Plot9_washed,153.0
Valais_27,150.0
empty,150.0
Lavaux_2021-09-30_must_Plot20_Row7/Vine20_ID207,149.0
Lavaux_2021-09-30_must_Plot14_Row7/Vine8_ID108,146.0
DO NOT USE (DUPLICATE),145.0
Lavaux_2021-09-30_must_Plot15_Row13/Vine20_ID139,145.0
Valais_19,145.0
SB_must_RT_immediately_2,144.0
empty,144.0
Lavaux_2021-09-30_must_Plot12_Row2/Vine50_ID78,143.0
Valais_69,143.0
Lavaux_2021-09-30_must_Plot14_Row16/Vine4_ID117,142.0
22DL07_5656_wine,141.0
DO NOT USE (DUPLICATE),141.0
empty,140.0
DO NOT USE (DUPLICATE),140.0
Valais_12,138.0
MV_Post-AF_Plot4_Rep1_2021-10-16,137.0
