id	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Fungal conc. (ng/uL)
364525_339-LP3-ITS-0339	Erlenbach_2022-08-11_2	Sample	SoilColonialization	DNA15	P4	2.39
364525_218-LP3-ITS-0218	Lavaux_2021-09-30_must_Plot11_Row5/Vine41_ID65	Sample	Lavaux	DNA14	P3	2.68
364525_227-LP3-ITS-0227	Lavaux_2022-09-09_must_Plot4_RepC	Sample	Lavaux	DNA14	P3	7.64
364525_465-LP3-ITS-0465	cotton_blank3	Sample	SamplingBenchmarking	DNA17	P5	0.001
364525_344-LP3-ITS-0344	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA15	P4	2.05
364525_223-LP3-ITS-0223	Lavaux_2022-09-09_must_Plot20_RepC	Sample	Lavaux	DNA14	P3	2.23
364525_466-LP3-ITS-0466	visc_4deg_1	Sample	SamplingBenchmarking	DNA17	P5	4.8
364525_345-LP3-ITS-0345	Grenchen_2021-06-11_soil_1B_ref	Sample	SoilColonialization	DNA15	P4	2.53
364525_224-LP3-ITS-0224	Lavaux_2022-08-10_must_Plot17	Sample	Lavaux	DNA14	P3	1.24
364525_467-LP3-ITS-0467	visc_4deg_2	Sample	SamplingBenchmarking	DNA17	P5	10.19
364525_346-LP3-ITS-0346	Grenchen_2021-06-11_soil_1C_ref	Sample	SoilColonialization	DNA15	P4	7.21
364525_225-LP3-ITS-0225	Lavaux_2021-09-30_must_Plot11_Row3/Vine40_ID60	Sample	Lavaux	DNA14	P3	3.12
364525_347-LP3-ITS-0347	Grenchen_2021-06-11_soil_2A	Sample	SoilColonialization	DNA15	P4	7.46
364525_226-LP3-ITS-0226	Lavaux_2021-09-30_must_Plot17_Row15/Vine40_ID176	Sample	Lavaux	DNA14	P3	1.26
364525_450-LP3-ITS-0450	SB_NaCl_sol_berry_sonication_1	Sample	SamplingBenchmarking	DNA17	P5	5.64
364525_329-LP3-ITS-0329	Erlenbach_2022-06-30_3	Sample	SoilColonialization	DNA15	P4	0.02
364525_208-LP3-ITS-0208	Lavaux_2022-08-10_must_Plot14	Sample	Lavaux	DNA14	P3	1.29
364525_451-LP3-ITS-0451	SB_NaCl_sol_berry_sonication_2	Sample	SamplingBenchmarking	DNA17	P5	12.21
364525_330-LP3-ITS-0330	Grenchen_2022-07-02_2C	Sample	SoilColonialization	DNA15	P4	5.66
364525_209-LP3-ITS-0209	Lavaux_2021-09-30_must_Plot12_Row5/Vine40_ID86	Sample	Lavaux	DNA14	P3	0.79
364525_452-LP3-ITS-0452	SB_NaCl_sol_berry_sonication_3	Sample	SamplingBenchmarking	DNA17	P5	6.82
364525_331-LP3-ITS-0331	Erlenbach_2022-06-30_2	Sample	SoilColonialization	DNA15	P4	0.74
364525_210-LP3-ITS-0210	Lavaux_2021-09-30_must_Plot4_Row19/Vine20_ID21	Sample	Lavaux	DNA14	P3	2.51
364525_453-LP3-ITS-0453	cotton_tips_1	Sample	SamplingBenchmarking	DNA17	P5	3.2
