id	SAMPLE_NAME	plot	row	vine	Lat	Long
364527_085-LP3-16S-0085	Lavaux_2021-09-30_must_Plot20_Row9/Vine20_ID210	20	9	20	46.493174	6.720885
364527_007-LP3-16S-0007	Lavaux_2021-09-30_must_Plot20_Row10/Vine10_ID211	20	10	10	46.493201	6.720937
364527_147-LP3-16S-0147	Lavaux_2021-09-30_must_Plot20_Row10/Vine30_ID212	20	10	30	46.493179	6.720769
364527_010-LP3-16S-0010	Lavaux_2021-09-30_must_Plot20_Row11/Vine20_ID213	20	11	20	46.493203	6.72088
364527_055-LP3-16S-0055	Lavaux_2021-09-30_must_Plot20_Row12/Vine11_ID214	20	12	11	46.493226	6.720919
364527_045-LP3-16S-0045	Lavaux_2021-09-30_must_Plot20_Row13/Vine20_ID215	20	13	20	46.49323	6.720869
364528_331-LP3-16S-0907	Lavaux_2021-09-30_must_Plot20_Row14/Vine10_ID216	20	14	10	46.493247	6.720907
364527_104-LP3-16S-0104	Lavaux_2021-09-30_must_Plot20_Row15/Vine5_ID217	20	15	5	46.493265	6.720932
364527_102-LP3-16S-0102	Lavaux_2021-09-30_must_Plot20_Row16/Vine10_ID218	20	16	10	46.493253	6.720882
364528_324-LP3-16S-0900	Lavaux_2021-09-30_must_Plot20_Row16/Vine20_ID219	20	16	20	46.493239	6.720833
364527_273-LP3-16S-0273	Lavaux_2021-09-30_must_Plot5_Row6/Vine30_ID37	5	6	30	46.495709	6.708961
