id	SAMPLE_NAME	plot	row	vine	Lat	Long
364525_179-LP3-ITS-0179	Lavaux_2021-09-30_must_Plot11_Row3/Vine19_ID59	11	3	19	46.499948	6.706387
364525_225-LP3-ITS-0225	Lavaux_2021-09-30_must_Plot11_Row3/Vine40_ID60	11	3	40	46.500108	6.706427
364525_258-LP3-ITS-0258	Lavaux_2021-09-30_must_Plot11_Row4/Vine10_ID61	11	4	10	46.499888	6.706388
364525_145-LP3-ITS-0145	Lavaux_2021-09-30_must_Plot11_Row4/Vine32_ID62	11	4	32	46.500038	6.706425
364525_194-LP3-ITS-0194	Lavaux_2021-09-30_must_Plot11_Row4/Vine50_ID63	11	4	50	46.500164	6.706454
364525_257-LP3-ITS-0257	Lavaux_2021-09-30_must_Plot11_Row5/Vine19_ID64	11	5	19	46.499961	6.706422
364525_218-LP3-ITS-0218	Lavaux_2021-09-30_must_Plot11_Row5/Vine41_ID65	11	5	41	46.500119	6.706462
364525_005-LP3-ITS-0005	Lavaux_2021-09-30_must_Plot11_Row6/Vine22_ID66	11	6	22	46.499972	6.706445
364525_127-LP3-ITS-0127	Lavaux_2021-09-30_must_Plot11_Row6/Vine40_ID67	11	6	40	46.500105	6.70648
364525_082-LP3-ITS-0082	Lavaux_2021-09-30_must_Plot11_Row7/Vine15_ID68	11	7	15	46.499912	6.706449
364525_154-LP3-ITS-0154	Lavaux_2021-09-30_must_Plot11_Row7/Vine30_ID69	11	7	30	46.500018	6.706475
364525_162-LP3-ITS-0162	Lavaux_2021-09-30_must_Plot11_Row7/Vine50_ID70	11	7	50	46.500206	6.706524
364526_336-LP3-ITS-0912	Lavaux_2021-09-30_must_Plot11_Row8/Vine11_ID71	11	8	11	46.499882	6.706454
364525_217-LP3-ITS-0217	Lavaux_2021-09-30_must_Plot11_Row8/Vine30_ID72	11	8	30	46.500008	6.706494
364525_163-LP3-ITS-0163	Lavaux_2021-09-30_must_Plot11_Row8/Vine50_ID73	11	8	50	46.500168	6.706536
364525_041-LP3-ITS-0041	Lavaux_2021-09-30_must_Plot11_Row9/Vine20_ID74	11	9	20	46.499942	6.70649
364525_160-LP3-ITS-0160	Lavaux_2021-09-30_must_Plot11_Row9/Vine40_ID75	11	9	40	46.500078	6.706528
364525_169-LP3-ITS-0169	Lavaux_2021-09-30_must_Plot12_Row2/Vine10_ID76	12	2	10	46.502302	6.70482
364525_118-LP3-ITS-0118	Lavaux_2021-09-30_must_Plot12_Row2/Vine30_ID77	12	2	30	46.502449	6.704998
364525_028-LP3-ITS-0028	Lavaux_2021-09-30_must_Plot12_Row2/Vine50_ID78	12	2	50	46.502549	6.705101
364525_110-LP3-ITS-0110	Lavaux_2021-09-30_must_Plot12_Row3/Vine41_ID80	12	3	41	46.502438	6.705038
364525_141-LP3-ITS-0141	Lavaux_2021-09-30_must_Plot12_Row3/Vine60_ID81	12	3	60	46.502552	6.70518
364525_069-LP3-ITS-0069	Lavaux_2021-09-30_must_Plot12_Row4/Vine10_ID82	12	4	10	46.502276	6.704864
364525_012-LP3-ITS-0012	Lavaux_2021-09-30_must_Plot12_Row4/Vine30_ID83	12	4	30	46.502405	6.705064
364525_094-LP3-ITS-0094	Lavaux_2021-09-30_must_Plot12_Row4/Vine50_ID84	12	4	50	46.502482	6.705162
364525_164-LP3-ITS-0164	Lavaux_2021-09-30_must_Plot12_Row5/Vine20_ID85	12	5	20	46.50231	6.704985
364525_209-LP3-ITS-0209	Lavaux_2021-09-30_must_Plot12_Row5/Vine40_ID86	12	5	40	46.502425	6.705143
364525_182-LP3-ITS-0182	Lavaux_2021-09-30_must_Plot12_Row5/Vine60_ID87	12	5	60	46.502499	6.705246
364525_092-LP3-ITS-0092	Lavaux_2021-09-30_must_Plot12_Row6/Vine11_ID88	12	6	11	46.502225	6.704904
364525_111-LP3-ITS-0111	Lavaux_2021-09-30_must_Plot12_Row6/Vine31_ID89	12	6	31	46.502368	6.705121
364525_089-LP3-ITS-0089	Lavaux_2021-09-30_must_Plot12_Row6/Vine50_ID90	12	6	50	46.50244	6.705211
364525_114-LP3-ITS-0114	Lavaux_2021-09-30_must_Plot12_Row7/Vine20_ID91	12	7	20	46.502232	6.705033
