SAMPLE_NAME,Frequency
21DL01S_2653_wine,507.0
22DL02M_4630_lees,492.0
Lavaux_2021-09-30_must_Plot18_Row9/Vine14_ID192,488.0
Lavaux_2021-09-30_must_Plot9_Row4/Vine10_ID40,488.0
Weinmanufaktur_14-09-2023_berries,484.0
Lavaux_2023-08-24_bark_Plot5,484.0
Lavaux_2021-09-30_must_Plot17_Row14/Vine30_ID174,478.0
,474.0
Lavaux_2023-09-20_must_Plot15_RepE,473.0
Valais_10,471.0
Rebhalde_05-09-2023_soil,469.0
MV_Post-AF_Plot14_2023-10-11,467.0
Lavaux_2022-09-09_must_Plot15_RepD,458.0
MV_Post-AF_Plot15_2022-09-30,456.0
MV_Post-AF_Plot12_2022-09-30,450.0
Lavaux_2021-09-30_must_Plot15_Row12/Vine9_ID137,449.0
Lavaux_2021-09-30_must_Plot12_Row2/Vine10_ID76,445.0
Valais_80,445.0
Lavaux_2021-09-30_must_Plot14_Row2/Vine4_ID103,443.0
Lavaux_2021-09-30_must_Plot18_Row3/Vine14_ID186,439.0
Lavaux_2021-09-30_must_Plot9_Row9/Vine20_ID50,439.0
must_4deg_3,438.0
must_min20_2,421.0
Lavaux_2021-09-30_must_Plot15_Row3/Vine20_ID121c,407.0
MV_Post-MLF_Plot17_2022-01-24,404.0
Hasenhalde_14-09-2023_berries,397.0
Lavaux_2021-09-30_must_Plot13_Row3/Vine30_ID98,393.0
MV_Post-AF_Plot18_Rep2_2021-10-16,393.0
Lavaux_2021-09-30_must_Plot20_Row10/Vine10_ID211,389.0
Lavaux_2022-08-10_must_Plot12,385.0
Lavaux_2021-09-30_must_Plot18_Row6/Vine7_ID189,382.0
Erlenbach_2022-06-03_3,381.0
MV_Must_Plot14_2023-09-23,374.0
MV_Post-AF_Plot19_Rep3_2021-10-16,366.0
must_min20_1,364.0
Lavaux_2023-09-20_must_Plot12_RepE,354.0
Lavaux_2021-09-30_must_Plot17_Row4/Vine15_ID149,354.0
Valais_15,353.0
Lavaux_2021-09-30_must_Plot15_Row6/Vine10_ID126,352.0
DO NOT USE (DUPLICATE),340.0
MV_Post-AF_Plot5_Rep1_2021-10-16,335.0
Hasenhalde_05-09-2023_soil,330.0
SB_must_RT_24h_3,327.0
Valais_33,326.0
Baur_Wein_05-09-2023_soil,324.0
empty,322.0
DNA24_negCtrl_3,321.0
Lavaux_2023-09-20_must_Plot4_RepE,318.0
Grenchen_2021-10-13_soil_1C,317.0
MV_Post-AF_Plot11_Rep3_2021-10-16,316.0
SB_must_RT_24h_2,316.0
Lavaux_2021-09-30_must_Plot12_Row2/Vine30_ID77,315.0
Lavaux_2021-09-30_must_Plot17_Row7/Vine40_ID160,313.0
Ruetihof_14-09-2023_berries,311.0
Lavaux_2021-09-30_must_Plot11_Row4/Vine32_ID62,311.0
Lavaux_2021-09-30_must_Plot12_Row3/Vine41_ID80,306.0
SB_water_berry_sonication_1,305.0
Lavaux_2021-09-30_must_Plot20_Row16/Vine10_ID218,305.0
Lavaux_2021-08-31_leaf_Plot5,303.0
Valais_14,301.0
MV_Post-MLF_Plot14_2022-01-24,298.0
DNA24_posCtrl_4,294.0
Lavaux_2023-09-20_must_Plot5_RepE,291.0
SB_PBS_berry_sonication_1,283.0
Lavaux_2023-09-20_must_Plot15_RepA,282.0
Diederik_14-09-2023_berries,279.0
Lavaux_2021-09-30_must_Plot17_Row10/Vine30_ID166,277.0
Lavaux_2023-09-20_must_Plot12_RepB,277.0
Lavaux_2021-09-30_must_Plot14_Row6/Vine12_ID107,275.0
DO NOT USE (DUPLICATE),274.0
Strickhof_14-09-2023_berries,273.0
21DL01S_2653_lees,270.0
Lavaux_2021-09-30_must_Plot20_Row15/Vine5_ID217,265.0
Lavaux_2022-09-09_must_Plot13_RepB,264.0
Lavaux_2021-09-30_must_Plot15_Row4/Vine30_ID123,264.0
MV_Post-AF_Plot11_Rep1_2021-10-16,263.0
Lavaux_2023-09-20_must_Plot20_RepE,261.0
Lavaux_2022-03-08_soil_Plot14,261.0
Lavaux_2021-09-30_must_Plot17_Row8/Vine10_ID161,257.0
Lavaux_2023-08-24_bark_Plot12,255.0
22DL04M_8419_wine,254.0
DO NOT USE (DUPLICATE),253.0
Ruetihof_05-09-2023_soil,252.0
Lavaux_2021-08-31_must_Plot15,251.0
DO NOT USE (DUPLICATE),250.0
Lavaux_2022-08-10_must_Plot13,250.0
Lavaux_2021-09-30_must_Plot17_Row12/Vine30_ID170,248.0
Lavaux_2021-09-30_must_Plot17_Row13/Vine20_ID171,245.0
Muraz_1_30-08-2023_berries,243.0
Champlan_1_30-08-2023_berries,241.0
Lavaux_2022-09-09_must_Plot9_RepA,240.0
Valais_6,239.0
DNA38_NegCtrl,238.0
DO NOT USE (DUPLICATE),237.0
Lavaux_2023-09-20_must_Plot9_RepA,235.0
DO NOT USE (DUPLICATE),235.0
visc_min20_2,231.0
Lavaux_2021-09-30_must_Plot4_Row14/Vine10_ID13,229.0
Lavaux_2021-09-30_must_Plot19_Row3/Vine10_ID196,229.0
Lavaux_2021-09-30_must_Plot12_Row5/Vine60_ID87,228.0
DNA16_NegCtrl,227.0
Lavaux_2022-08-10_bark_Plot20,225.0
PCR1water_PCR2PNA_1,222.0
SB_PBS_berry_sonication_2,219.0
Lavaux_2023-09-20_must_Plot12_RepD,216.0
visc_4deg_1,214.0
Lavaux_2023-08-24_leaf_Plot13_washed,214.0
SB_gylcerol_berry_sonication_2,214.0
MV_Post-MLF_Plot12_2023-12-11,212.0
Valais_29,210.0
DO NOT USE (DUPLICATE),210.0
Lavaux_2021-09-30_must_Plot11_Row2/Vine31_ID57,210.0
MV_Post-MLF_Plot4_2022-01-24,209.0
Lavaux_2021-09-30_must_Plot13_Row3/Vine10_ID97,209.0
Valais_67,208.0
SB_NaCl_sol_berry_sonication_3,208.0
22DL05S_7101_lees,207.0
Lavaux_2021-09-30_must_Plot12_Row7/Vine40_ID92,206.0
Lavaux_2022-09-09_must_Plot19_RepC,205.0
Lavaux_2021-09-30_must_Plot17_Row10/Vine10_ID165,204.0
364528_553-LP3-16S-1129,204.0
Grenchen_2022-10-20_1A,203.0
21DL08M_1885_lees,203.0
Lavaux_2023-09-20_must_Plot17_RepA,203.0
visc_min20_1,199.0
Lavaux_2021-09-30_must_Plot17_Row8/Vine32_ID162,198.0
,198.0
Lavaux_2021-09-30_must_Plot20_Row8/Vine11_ID208,198.0
Lavaux_2021-09-30_must_Plot13_Row2/Vine20_ID96,197.0
Lavaux_2021-08-31_leaf_Plot20,197.0
Baur_Wein_14-09-2023_berries,195.0
MV_Must_Plot5_2022-09-13,194.0
Lavaux_2023-09-20_must_Plot15_RepB,194.0
Valais_9,193.0
Erlenbach_2022-06-30_3,192.0
PCR1water_PCR2water-PNA_1,190.0
Lavaux_2021-09-30_must_Plot17_Row5/Vine40_ID155,189.0
Lavaux_2021-09-30_must_Plot13_Row1/Vine10_ID94,189.0
22DL07_8069_wine,184.0
Lavaux_2023-09-20_must_Plot20_RepD,180.0
MV_Post-AF_Plot12_Rep3_2021-10-16,180.0
DNA41_negCtrl_2,176.0
empty,176.0
Valais_37,174.0
Lavaux_2021-09-30_must_Plot18_Row10/Vine7_ID193,174.0
Lavaux_2021-08-31_must_Plot11,173.0
Valais_56,173.0
Lavaux_2021-09-30_must_Plot17_Row9/Vine20_ID163,171.0
Valais_64,168.0
Valais_36,167.0
Lavaux_2021-09-30_must_Plot17_Row13/Vine40_ID172,166.0
MV_Must_Plot20_2023-09-23,166.0
SB_must_min20_1month_3,165.0
Lavaux_2022-08-10_must_Plot11,165.0
