Name	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Bacterial conc. (ng/uL)
364527_237-LP3-16S-0237	Lavaux_2022-09-09_must_Plot14_RepC	Sample	Lavaux	DNA14	P3	1.8
364527_116-LP3-16S-0116	Lavaux_2021-09-30_must_Plot14_Row13/Vine10_ID114	Sample	Lavaux	DNA12	P2	2.0
364527_297-LP3-16S-0297	Lavaux_2022-08-10_soil_Plot19	Sample	Lavaux	DNA15	P4	1.3
364527_176-LP3-16S-0176	Lavaux_2021-09-30_must_Plot13_Row1/Vine10_ID94	Sample	Lavaux	DNA12	P2	8.1
364527_055-LP3-16S-0055	Lavaux_2021-09-30_must_Plot20_Row12/Vine11_ID214	Sample	Lavaux	DNA11	P1	2.8
364527_298-LP3-16S-0298	Lavaux_2022-08-10_soil_Plot12	Sample	Lavaux	DNA15	P4	1.5
364527_177-LP3-16S-0177	Lavaux_2021-09-30_must_Plot11_Row2/Vine31_ID57	Sample	Lavaux	DNA12	P2	5.2
364527_056-LP3-16S-0056	Lavaux_2021-09-30_must_Plot15_Row14/Vine31_ID142	Sample	Lavaux	DNA11	P1	2.7
364527_299-LP3-16S-0299	Lavaux_2021-08-31_soil_Plot20	Sample	Lavaux	DNA15	P4	1.3
364527_178-LP3-16S-0178	Lavaux_2021-09-30_must_Plot15_Row4/Vine30_ID123	Sample	Lavaux	DNA12	P2	3.3
364527_057-LP3-16S-0057	Lavaux_2021-09-30_must_Plot4_Row16/Vine10_ID16	Sample	Lavaux	DNA11	P1	2.9
364527_300-LP3-16S-0300	Lavaux_2022-03-08_soil_Plot19	Sample	Lavaux	DNA15	P4	1.4
364527_179-LP3-16S-0179	Lavaux_2021-09-30_must_Plot11_Row3/Vine19_ID59	Sample	Lavaux	DNA12	P2	2.7
364527_058-LP3-16S-0058	Lavaux_2021-09-30_must_Plot4_Row21/Vine20_ID24	Sample	Lavaux	DNA11	P1	2.1
364527_294-LP3-16S-0294	Lavaux_2022-08-10_soil_Plot20	Sample	Lavaux	DNA15	P4	4.6
364527_295-LP3-16S-0295	Lavaux_2022-08-10_soil_Plot15	Sample	Lavaux	DNA15	P4	5.0
364527_174-LP3-16S-0174	Lavaux_2021-09-30_must_Plot4_Row15/Vine20_ID15	Sample	Lavaux	DNA12	P2	9.7
364527_296-LP3-16S-0296	Lavaux_2022-08-10_soil_Plot4	Sample	Lavaux	DNA15	P4	4.7
364527_175-LP3-16S-0175	Lavaux_2021-09-30_must_Plot13_Row3/Vine30_ID98	Sample	Lavaux	DNA12	P2	8.4
364527_054-LP3-16S-0054	Lavaux_2021-09-30_must_Plot5_Row5/Vine20_ID33	Sample	Lavaux	DNA11	P1	2.8
364527_063-LP3-16S-0063	Lavaux_2021-09-30_must_Plot17_Row8/Vine10_ID161	Sample	Lavaux	DNA11	P1	3.2
364527_301-LP3-16S-0301	Lavaux_2022-03-08_soil_Plot20	Sample	Lavaux	DNA15	P4	1.4
364527_180-LP3-16S-0180	Lavaux_2021-09-30_must_Plot17_Row10/Vine10_ID165	Sample	Lavaux	DNA12	P2	5.9
364527_059-LP3-16S-0059	Lavaux_2021-09-30_must_Plot5_Row5/Vine41_ID34	Sample	Lavaux	DNA11	P1	2.3
364527_302-LP3-16S-0302	Lavaux_2022-08-10_soil_Plot9	Sample	Lavaux	DNA15	P4	1.3
364527_181-LP3-16S-0181	Lavaux_2021-09-30_must_Plot18_Row5/Vine14_ID188	Sample	Lavaux	DNA12	P2	4.8
364527_060-LP3-16S-0060	Lavaux_2021-09-30_must_Plot14_Row2/Vine4_ID103	Sample	Lavaux	DNA11	P1	6.4
364527_303-LP3-16S-0303	Lavaux_2021-08-31_soil_Plot13	Sample	Lavaux	DNA15	P4	1.3
364527_182-LP3-16S-0182	Lavaux_2021-09-30_must_Plot12_Row5/Vine60_ID87	Sample	Lavaux	DNA12	P2	4.2
364527_061-LP3-16S-0061	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA11	P1	2.5
364527_183-LP3-16S-0183	Lavaux_2021-09-30_must_Plot17_Row11/Vine20_ID167	Sample	Lavaux	DNA12	P2	4.2
364527_062-LP3-16S-0062	Lavaux_2021-09-30_must_Plot12_Row7/Vine60_ID93	Sample	Lavaux	DNA11	P1	3.4
364527_286-LP3-16S-0286	Lavaux_2022-09-09_must_Plot19_RepD	Sample	Lavaux	DNA14	P3	14.2
364527_165-LP3-16S-0165	Lavaux_2021-09-30_must_Plot4_Row13/Vine20_ID12	Sample	Lavaux	DNA12	P2	1.5
364527_287-LP3-16S-0287	Lavaux_2022-08-10_must_Plot12	Sample	Lavaux	DNA14	P3	12.0
364527_166-LP3-16S-0166	Lavaux_2021-09-30_must_Plot4_Row7/Vine20_ID3	Sample	Lavaux	DNA12	P2	1.8
364527_288-LP3-16S-0288	empty	Sample	NOT-USE	DNA14	P3	11.3
364527_167-LP3-16S-0167	Lavaux_2021-09-30_must_Plot14_Row18/Vine4_ID119	Sample	Lavaux	DNA12	P2	1.4
364527_289-LP3-16S-0289	Lavaux_2022-08-10_soil_Plot17	Sample	Lavaux	DNA15	P4	3.8
364527_168-LP3-16S-0168	Lavaux_2021-09-30_must_Plot14_Row16/Vine4_ID117	Sample	Lavaux	DNA12	P2	6.5
364527_284-LP3-16S-0284	Lavaux_2022-09-09_must_Plot13_RepB	Sample	Lavaux	DNA14	P3	11.4
364527_285-LP3-16S-0285	Lavaux_2022-09-09_must_Plot15_RepC	Sample	Lavaux	DNA14	P3	15.1
364527_164-LP3-16S-0164	Lavaux_2021-09-30_must_Plot12_Row5/Vine20_ID85	Sample	Lavaux	DNA12	P2	4.9
364527_173-LP3-16S-0173	Lavaux_2021-09-30_must_Plot19_Row3/Vine10_ID196	Sample	Lavaux	DNA12	P2	9.2
364527_290-LP3-16S-0290	Lavaux_2022-08-10_soil_Plot5	Sample	Lavaux	DNA15	P4	4.7
364527_169-LP3-16S-0169	Lavaux_2021-09-30_must_Plot12_Row2/Vine10_ID76	Sample	Lavaux	DNA12	P2	9.7
364527_291-LP3-16S-0291	Lavaux_2022-08-10_soil_Plot11	Sample	Lavaux	DNA15	P4	4.7
364527_170-LP3-16S-0170	Lavaux_2021-09-30_must_Plot17_Row5/Vine20_ID153	Sample	Lavaux	DNA12	P2	7.2
364527_292-LP3-16S-0292	Lavaux_2022-08-10_soil_Plot13	Sample	Lavaux	DNA15	P4	4.5
364527_171-LP3-16S-0171	DNA12_NegCtrl	NegCtrl	Lavaux	DNA12	P2	8.3
364527_293-LP3-16S-0293	Lavaux_2022-08-10_soil_Plot14	Sample	Lavaux	DNA15	P4	4.4
364527_172-LP3-16S-0172	Lavaux_2021-09-30_must_Plot4_Row12/Vine10_ID10	Sample	Lavaux	DNA12	P2	8.7
364527_319-LP3-16S-0319	empty	Sample	NOT-USE	DNA15	P4	2.1
364527_198-LP3-16S-0198	Lavaux_2022-09-09_must_Plot15_RepD	Sample	Lavaux	DNA14	P3	7.0
364527_077-LP3-16S-0077	Lavaux_2021-09-30_must_Plot17_Row7/Vine40_ID160	Sample	Lavaux	DNA11	P1	6.0
364527_320-LP3-16S-0320	empty	Sample	NOT-USE	DNA15	P4	4.1
